cohort,gene_symbol,gene_id,native,rs127_major,rs127_minor,T_minus_G
bottom500,A3GALT2,ENSG00000184389.9,0.0034449528944668,0.0044902797382116,0.0086380604911841,0.0041477807529725
bottom500,AADACL2,ENSG00000197953.6,0.0001538696884791,0.0047583467315208,0.1430604398250771,0.1383020930935563
bottom500,AADACL3,ENSG00000188984.12,3.02097908033236e-05,0.0005118054736255,0.0238173475704354,0.0233055420968099
bottom500,AADACL4,ENSG00000204518.3,2.5253740043015387e-05,9.242059119181676e-05,0.0079537619435716,0.007861341352379782
bottom500,AANAT,ENSG00000129673.10,0.0020044975470474,0.0088564912206406,0.025629516474879,0.016773025254238398
bottom500,AARD,ENSG00000205002.4,0.0007314258454084,0.001968710878427,0.0329440871765243,0.0309753762980973
bottom500,ABCA12,ENSG00000144452.15,0.0001623868826805,0.0053590456302208,0.0672487508818118,0.061889705251591
bottom500,ABCB5,ENSG00000004846.17,1.0264010308973791e-05,0.0001734205033829,0.004812125718381,0.0046387052149981
bottom500,ABCC12,ENSG00000140798.17,1.881707152894097e-05,0.000253753651498,0.0044026111001909,0.004148857448692899
bottom500,ABCC8,ENSG00000006071.16,0.0006321522673447,0.0141676062391997,0.1898961459424389,0.1757285397032392
bottom500,ABHD12B,ENSG00000131969.15,0.0008016090914898,0.0158822878364681,0.1474367660214024,0.1315544781849343
bottom500,ABRA,ENSG00000174429.4,0.0002135673287348,0.03520678102661,1.2996647541408817,1.2644579731142718
bottom500,ACAN,ENSG00000157766.19,0.0004132962819025,0.0004681228034432,0.0123225757375013,0.0118544529340581
bottom500,ACCSL,ENSG00000205126.2,0.0002564602672184,0.0129775426808397,0.3782764317766611,0.36529888909582137
bottom500,ACOD1,ENSG00000102794.11,4.040985688496787e-05,4.734134804069859e-05,0.0152350824368874,0.015187741088846702
bottom500,ACP4,ENSG00000142513.6,0.0004031473345074,0.0049759016914545,0.9358539364739756,0.9308780347825212
bottom500,ACP7,ENSG00000183760.11,3.648632666369055e-05,0.0004437655032967,0.0196098019820913,0.0191660364787946
bottom500,ACRV1,ENSG00000134940.14,0.0003654806005908,0.0003382591325064,0.0008752327814287,0.0005369736489223001
bottom500,ACSBG2,ENSG00000130377.14,7.209388029733758e-05,0.0008770248431429,0.0096391921469264,0.0087621673037835
bottom500,ACSM4,ENSG00000215009.6,0.0001451702495023,0.000265024732145,0.0034562918898126,0.0031912671576676
bottom500,ACSM6,ENSG00000173124.15,0.0011983571658976,0.0131760164716686,0.1985150057703596,0.185338989298691
bottom500,ACTBL2,ENSG00000169067.4,0.0001303717020862,0.0004383626840198,0.0090529604862354,0.0086145978022156
bottom500,ACTL6B,ENSG00000077080.10,0.000469110637494,0.0273986858653142,0.4682032979260516,0.4408046120607374
bottom500,ACTL7A,ENSG00000187003.7,0.0001254521939125,0.0244040700392773,0.6645624987196944,0.6401584286804172
bottom500,ACTL7B,ENSG00000148156.8,6.24987021239941e-05,0.2425675334074152,5.838571740390559,5.596004206983143
bottom500,ACTL8,ENSG00000117148.8,3.2423443231093234e-06,4.427518037157209e-05,0.0004646846720248,0.0004204094916532279
bottom500,ACTL9,ENSG00000181786.6,1.5399671290580367e-05,0.0390955569474118,0.8386109772174843,0.7995154202700725
bottom500,ACTN3,ENSG00000248746.6,0.0146174748345686,0.0219740892245175,0.1189430544577587,0.0969689652332412
bottom500,ACTRT1,ENSG00000123165.9,2.7201805252274267e-05,0.000133991786065,0.000756128758408,0.0006221369723430001
bottom500,ACTRT2,ENSG00000169717.7,1.1909845882799688e-05,0.0001165000224455,0.170152359373081,0.1700358593506355
bottom500,ADAD1,ENSG00000164113.11,2.227445518275867e-05,4.617345220982938e-05,0.0006167682232623,0.0005705947710524706
bottom500,ADAD2,ENSG00000140955.11,0.0001867638819716,0.0009452311642853,0.0250532765949824,0.0241080454306971
bottom500,ADAM18,ENSG00000168619.16,4.046381962745774e-05,0.0008717890024075,0.0371159201578369,0.0362441311554294
bottom500,ADAM2,ENSG00000104755.16,2.1734681111727615e-05,9.820688100635514e-05,0.0010673480345342,0.0009691411535278449
bottom500,ADAM21,ENSG00000139985.8,0.034149899670025,0.004677333348328,0.0086508566849005,0.0039735233365724995
bottom500,ADAM29,ENSG00000168594.15,2.5877274531260595e-05,3.8285032789935416e-05,9.879167081117332e-05,6.05066380212379e-05
bottom500,ADAM30,ENSG00000134249.7,9.696659889497724e-06,0.0050816447926416,0.0592795441646104,0.0541978993719688
bottom500,ADAM32,ENSG00000197140.15,0.008811597475298,0.0087011301407245,0.0124941296868648,0.0037929995461403014
bottom500,ADAM7,ENSG00000069206.15,2.8374405782773756e-05,0.0003492278976831,0.0445390464000122,0.0441898185023291
bottom500,ADAMTS18,ENSG00000140873.16,0.001776079709238,0.0028367617383933,0.0047386669669659,0.0019019052285725994
bottom500,ADAMTS19,ENSG00000145808.10,0.0012563577513528,0.0035622166068548,0.0187936963006515,0.0152314796937967
