gene	rank_nonoverlap	window_start	window_end	window_center	delta_liver	delta_adipose_mean	contrast_liver_minus_adipose_mean	abs_contrast
CELSR2	1	109249503	109249512	109249507	-0.0020287629388826	0.0044112730009982	-0.0064400359398808	0.0064400359398808
CELSR2	2	109249468	109249477	109249472	-0.0069829062455243	-0.0035587811072394	-0.0034241251382849	0.0034241251382849
CELSR2	3	109249973	109249982	109249977	0.0002799163807837	0.0035390725173025	-0.0032591561365188	0.0032591561365188
CELSR2	4	109249218	109249227	109249222	6.769156511460435e-05	0.0032986120976033	-0.0032309205324886955	0.0032309205324886955
CELSR2	5	109254053	109254062	109254057	0.0035447344985008	0.0003189864072374	0.0032257480912634	0.0032257480912634
CELSR2	6	109249518	109249527	109249522	0.0024431296847122	0.0055125102912568	-0.0030693806065445997	0.0030693806065445997
CELSR2	7	109254723	109254732	109254727	0.0002788417612714	0.0032001156524015	-0.0029212738911300997	0.0029212738911300997
CELSR2	8	109240838	109240847	109240842	-0.0001530777061384	0.0027310413610347	-0.0028841190671731	0.0028841190671731
CELSR2	9	109237973	109237982	109237977	0.0015650697088994	0.004438583875972	-0.0028735141670726003	0.0028735141670726003
CELSR2	10	109249483	109249492	109249487	-0.0063057621295914	-0.0035061926363633	-0.0027995694932280994	0.0027995694932280994
CELSR2	11	109249533	109249542	109249537	0.0085564804821037	0.0112535621460189	-0.0026970816639151993	0.0026970816639151993
CELSR2	12	109249228	109249237	109249232	0.0018817371198942	-0.0007697837263541	0.0026515208462483	0.0026515208462483
CELSR2	13	109257813	109257822	109257817	5.60226349278041e-05	0.0025726958261549	-0.002516673191227096	0.002516673191227096
CELSR2	14	109253693	109253702	109253697	0.0010612249500079	-0.0011641934974469	0.0022254184474548	0.0022254184474548
CELSR2	15	109254358	109254367	109254362	0.0021915574077069	5.5336195093798335e-06	0.0021860237881975203	0.0021860237881975203
CELSR2	16	109249458	109249467	109249462	-0.0024182212697171	-0.0045815550352151	0.002163333765498	0.002163333765498
CELSR2	17	109249818	109249827	109249822	0.00147180207015	0.0035004075264335	-0.0020286054562835	0.0020286054562835
CELSR2	18	109254733	109254742	109254737	0.0005127381359568	-0.0014701829485314	0.0019829210844881998	0.0019829210844881998
CELSR2	19	109257668	109257677	109257672	-0.00061379780176	0.0013091662855364	-0.0019229640872963998	0.0019229640872963998
CELSR2	20	109239353	109239362	109239357	0.0015979150491408	-0.0002879734931008	0.0018858885422416	0.0018858885422416
