position_from_rs12740374_kb	observed_contact_oe_3x3_smoothed
-53.967	1.671032836039861
-51.967	1.5709943473339079
-49.967	1.5509854025310938
-47.967	1.5910458697213066
-45.967	1.5512362784809535
-43.967	1.7182501488261752
-41.967	1.6055777933862474
-39.967	1.5071891281339855
-37.967	1.3825888236363728
-35.967	1.4448430405722723
-33.967	1.5424769984351263
-31.967	1.588233232498169
-29.967	1.571879333919949
-27.967	1.4445801840888128
-25.967	1.4285395542780557
-23.967	1.4703245825237696
-21.967	1.4706078304184809
-19.967	1.4409728778733146
-17.967	1.4478379819128249
-15.967	1.3413528402646382
-13.967	1.5131711098882887
-11.967	1.6621845761934917
-9.967	2.035001595815023
-7.967	1.849130656984117
-5.967	1.6300479571024578
-3.967	1.2370473278893366
-1.967	1.1051642762290106
0.033	0.9851033621364168
2.033	0.9702042010095383
4.033	1.0353790521621702
6.033	1.1260416044129264
8.033	1.2411074837048848
10.033	1.091371324327257
12.033	1.0910493930180867
14.033	1.169633362028334
16.033	1.3118344677819147
18.033	1.598125139872233
20.033	1.5303713745541043
22.033	1.9802016682094996
24.033	2.041450301806132
26.033	2.2132540014055038
28.033	1.92778299914466
30.033	2.095515939924452
32.033	2.156552963786655
34.033	2.293799572520786
36.033	1.9068948494063482
38.033	2.1853922539287143
40.033	2.1110290222697787
42.033	2.322461313671536
44.033	2.331479681862725
46.033	2.567910340097215
48.033	2.661715454525418
50.033	2.4191378752390547
52.033	2.4903413189782038
54.033	2.0860939290788436
56.033	2.343538482983907
58.033	2.9632449547449746
60.033	3.4195393986172147
62.033	3.202309548854828
64.033	2.301857789357503
66.033	2.0553625292248197
68.033	2.0819531083106995
70.033	2.885253561867608
72.033	3.0387916300031876
74.033	2.7231252988179526
76.033	2.2792279322942095
78.033	2.317745261722141
80.033	2.60860980881585
82.033	2.455824467870924
84.033	2.618137227164374
86.033	2.631587227185567
88.033	2.969557139608595
90.033	2.7210000223583646
92.033	2.8085814846886525
94.033	2.97670038541158
96.033	3.365652561187744
98.033	3.4429740243487887
100.033	3.2309528059429593
102.033	3.320020079612732
104.033	3.689124584197998
106.033	3.715253366364373
108.033	3.5676235490375094
110.033	3.482862035433451
112.033	3.3874706294801498
114.033	4.2165631320741435
116.033	4.940348956320021
118.033	5.511651304033067
120.033	6.77262184354994
122.033	7.770007451375325
124.033	8.824915356106228
126.033	8.294260342915853
128.033	7.140533924102782
130.033	5.825879070493909
132.033	5.119598031044006
134.033	5.43438356452518
136.033	5.251197377840677
138.033	4.349356942706638
140.033	3.7652920087178545
142.033	4.5994889471266
144.033	4.902702066633435
146.033	4.0402994420793314
148.033	3.2930696540408664
150.033	2.729938944180806
152.033	2.7739028400845
154.033	2.2763275305430093
156.033	1.9569250014093187
158.033	2.4929919176631503
160.033	2.458824574947357
162.033	2.57918107509613
164.033	1.7210507459110684
